SMILES,Name,IC50
N#CC1CC(C1)n(n2)cc(c2C)Nc(n3)nccc3OC[C@H]4CC[C@@H](CC4)NC(=O)C,1257868,400
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3ccc(cc3)N4C(CCC45)COC5,1257974,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2C3CC3)nc(nc2)Nc4ccc(cc4)N5CCOCC5,1257881,125
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2Cl)nc(nc2)Nc3ccc(cc3)N4CCOCC4,1257873,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3ccc(cc3)N4CCOCC4,1257875,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc(c3C)cn(n3)C,1257987,125
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3c(Cl)nn(C)c3,1257994,50
N#CC(C)(C)n(n1)cc(c1C)Nc(nc2)nc(c2C)OC[C@H]3CC[C@@H](CC3)NC(=O)C,1257880,50
N#CC(C)(C)n(n1)cc(c1C)Nc(nc2)nc(c2Cl)OC[C@H]3CC[C@@H](CC3)NC(=O)C,1257874,50
N#CC(C)(C)n(n1)cc(c1C)Nc(nc2)nc(c2F)OC[C@H]3CC[C@@H](CC3)NC(=O)C,1257877,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc(c3C)cn(n3)C(F)F,1257990,125
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc(c3C)cn(n3)C4CC4,1257989,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3c(Cl)nn(c3)C4CC4,1257996,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc(c3C)cnn3C(F)F,1257993,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3cnn(C)c3,1257976,125
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3c(Cl)n(nc3)C4CCOCC4,1257999,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3cnn(c3)CC(F)(F)F,1257981,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3cnn(c3)CCF,1257982,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3cnn(c3)CCO,1257983,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3c(Cl)n(nc3)CCO,1257997,50
N#CC(C)(C)n(c1)ncc1Nc(nc2)nc(c2F)OC[C@H]3CC[C@@H](CC3)NC(=O)C,1257979,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3cnn(C(F)(F)F)c3,1257980,300
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3cnn(c3)C4CCOCC4,1257986,50
CC(=O)N[C@H](CC1)CC[C@@H]1COc(c2F)nc(nc2)Nc3cnn(c3)C4COC4,1257985,125
N#CC(C)(C)n1ncc(c1C)Nc(nc2)nc(c2F)OC[C@H]3CC[C@@H](CC3)NC(=O)C,1257992,50
CC(=O)N[C@H](C1)C[C@@H]1COc2ccnc(n2)Nc3ccc(cc3)N4CCOCC4,1257887,400
CC(=O)N[C@H](C1)C[C@@H]1COc(c2F)nc(nc2)Nc3ccc(cc3)N4CCOCC4,1257885,300
CC(=O)Nc(cc1)cc(c1C)-c(cc2)cn(c23)cc(n3)NC(=O)[C@H]4[C@@H](F)C4,1080802,550
CC(=O)Nc1ccc(cc1)Nc(cc2)c(Cl)cc2C(=O)N(CC3)CCC3N4CCCCC4,50315485,1000
CC(=O)Nc(cc1)ccc1/C=C\2C(=O)Nc(c23)ccc(Cl)c3,50236120,10000
CC(=O)Nc(c1)ccc(c12)NC(=O)C/2=C\c(c3)[nH]c(c34)CCN(C4)C(=O)N5CCOCC5,51069937,4
CC(=O)Nc(ccc1)cc1-c(c2)cnc(c23)[nH]nc3C,475827,1000
CC(=O)Nc(n1)cccc1C(=O)Nc2cnn(c2)C3CCC3,1418350,468
CC(=O)Nc(n1)scc1C(=O)Nc2cnn(c2)C3CCC3,1418354,661
Fc1cccc(c1C(=O)C)-c(cc2)cn(c23)cc(n3)NC(=O)[C@H]4[C@@H](F)C4,1080928,1000
N#CC(C)n(n1)cc(c1C(F)F)NC(=O)c2csc(n2)-c3cn[nH]c3,1418393,39.8
FC(F)C(C)N1CCN(CC1)c(ncn2)cc2-c3n[nH]c(c34)ccc(c4)OC5(C)CC5,448583,0.9
